W1,POS1,RELATION,W2,POS2,PRIORITY,,,,,
买,v,AtLocation,,,1,,,,,
周边玩,v,AtLocation,农家乐,,,,,,,
买耳机,n,AtLocation,,,1,,,,,
买,v,AtLocation,京东,n,1,,,,,
买,v,AtLocation,淘宝,n,1,,,,,
广告,n,AtLocation,,,1,,,,,
了解科技产品,v,AtLocation,今日头条,n,,,,,,
行车记录仪,n,AtLocation,车内,,,,,,,
电脑,n,AtLocation,,,,,,,,
订酒店,v,AtLocation,美团,n,,,,,,
网络,n,AtLocation,外面,n,1,,,,,
看视频,v,AtLocation,抖音,n,1,,,,,
看资讯,v,AtLocation,,,1,,,,,
买电子产品,v,AtLocation,京东,n,1,,,,,
孩子,n,AtLocation,幼儿园,n,,,,,,
买音箱,v,AtLocation,,,1,,,,,
广告信息,n,AtLocation,QQ浏览器,n,2,,,,,
交流群,n,AtLocation,,,1,,,,,
商品信息,n,AtLocation,返利群,n,2,,,,,
智能化设施,n,AtLocation,卧室,n,2,,,,,
科技专栏,n,AtLocation,音频平台,n,2,,,,,
幼儿园,n,AtLocation,,,1,,,,,
休息,v,AtLocation,公司,n,3,,,,,
买手机,v,AtLocation,官网,n,1,,,,,
买电子烟,n,AtLocation,淘宝,n,1,,,,,
稀奇古怪的东西,n,AtLocation,淘宝,n,,,,,,
买大件,v,AtLocation,京东,n,,,,,,
学英语,v,AtLocation,学校,n,1,,,,,
买,v,AtTime,,,1,,,,,
到公司,v,AtTime,,,1,,,,,
用耳机,v,AtTime,通勤,v,2,,,,,
娱乐休闲活动,n,AtTime,晚上,n,1,,,,,
睡觉,v,AtTime,,,1,,,,,
上夜班,v,AtTime,,,1,,,,,
加班,v,AtTime,周末,,,,,,,
吃饭,v,AtTime,,,1,,,,,
加班,v,AtTime,,,1,,,,,
到家,v,AtTime,,,1,,,,,
出去玩,v,AtTime,吃完饭之后,,,,,,,
玩游戏,v,AtTime,,,1,,,,,
亲戚来家里,v,AtTime,,,1,,,,,
用智能音箱,v,AtTime,,,1,,,,,
买蓝牙音箱,v,AtTime,,,1,,,,,
看返利群,v,AtTime,,,1,,,,,
开始关注论坛,v,AtTime,,,1,,,,,
听有声小说,v,AtTime,,,1,,,,,
戴表,v,AtTime,出门,,2,,,,,
接送孩子,v,AtTime,,,1,,,,,
上兴趣班,v,AtTime,,,1,,,,,
出去玩,v,AtTime,周六日,n,,,,,,
回老家,v,AtTime,节日,n,2,,,,,
用音箱,v,AtTime,开车,,2,,,,,
空气净化器,n,CapableOf,连天猫精灵,v,1,,,,,
手表,n,CapableOf,打电话,v,1,,,,,
智能音响,n,CapableOf,自己移动,v,1,,,,,
电视,n,CapableOf,投屏,v,1,,,,,
爸爸,n,CapableOf,和孩子深入沟通,v,,,,,,
智能音箱,n,CapableOf,控制家电,v,1,,,,,
智能音箱,n,CapableOf,设闹钟,v,1,,,,,
智能音箱,n,CapableOf,放音乐,v,1,,,,,
AirPods,n,CapableOf,唤醒Siri,v,,,,,,
手表,n,CapableOf,看信息,v,1,,,,,
手表,n,CapableOf,连接耳机,v,1,,,,,
手机,n,CapableOf,控制家电,v,,,,,,
小米盒子,n,CapableOf,播放动画,v,1,,,,,
小米app,n,CapableOf,控制空调温度,v,1,,,,,
小夜灯,n,CapableOf,定时开关,v,1,,,,,
天猫精灵,n,CapableOf,声控购物,v,,,,,,
天猫精灵,n,CapableOf,语音聊天,v,,,,,,
安防系统,n,CapableOf,实时回放,v,1,,,,,
手环,n,CapableOf,防止走丢,v,,,,,,
小度,n,CapableOf,导航,v,1,,,,,
天猫精灵,n,CapableOf,语音识别,v,1,,,,,
小冰,n,CapableOf,智能对话,v,1,,,,,
小冰,n,CapableOf,唱歌,v,1,,,,,
天猫精灵,n,CapableOf,互动,v,,,,,,
小马英语,n,CapableOf,放慢速度,v,1,,,,,
小胖机器人,n,CapableOf,陪伴聊天,v,1,,,,,
小胖机器人,n,CapableOf,陪伴玩耍,v,1,,,,,
小胖机器人,n,CapableOf,打游戏,v,1,,,,,
智能音箱,n,CapableOf,带出去,v,1,,,,,
智能插座,n,CapableOf,控制家电,v,,,,,,
天猫精灵,n,CapableOf,讲故事,v,,,,,,
贴便利贴,v,Causes,看起来乱,,1,,,,,
,,Causes,觉得智能,v,2,,,,,
进度慢,n,Causes,加班,n,,,,,,
出去玩,v,Causes,买蓝牙音箱,v,2,,,,,
物流速度快,n,Causes,用京东,v,2,,,,,
 ,,Causes,买音箱,v,2,,,,,
看电视,v,Causes,买音箱,v,2,,,,,
优惠,n,Causes,办信用卡,v,2,,,,,
早起,v,Causes,费神,v,,,,,,
看手机不方便,,Causes,看手表,v,,,,,,
学奥数,v,Causes,报班,v,,,,,,
耳机,n,Causes,听力受损,n,,,,,,
米家,n,DefinedAs,米家生态,n, ,,,,,
学习新技能,v,DerivedFrom,,,1,,,,,
父母,n,Desires,听儿童教育相关课程,v,,,,,,
孩子,n,Desires,智能音箱,n,,,,,,
上班听公众号,,DistinctFrom,下班听公众号,,,,,,,
开餐馆,v,FormOf,做餐饮,v,,,,,,
自驾游,n,FormOf,玩乐,v n,,,,,,
背单词,v n,MotivatedByGoal,学英语,v n,,,,,,
资讯app,n,HasA,亲子频道,n,,,,,,
电子产品,n,HasA,型号,n,1,,,,,
电视,n,HasA,遥控器,n,1,,,,,
产品,n,HasA,价格,n,0,,,,,
产品,n,HasA,牌子,n,0,,,,,
智能音响,n,HasA,吸引你的功能,n,1,,,,,
电子产品,n,HasA,吸引你的功能,n,1,,,,,
路由器,n,HasA,信号,n,1,,,,,
故事,n,HasA,内容,n,1,,,,,
智能音响,n,HasA,摄像头,n,1,,,,,
智能音响,n,HasA,屏幕,n,1,,,,,
小度,n,HasA,屏幕,n,1,,,,,
抖音,n,HasA,内容,n,1,,,,,
妈妈,n,HasA,陪孩子的责任,n,,,,,,
蓝牙音箱,n,HasA,问题,n,1,,,,,
蓝牙音箱,n,HasA,续航时间,n,1,,,,,
蓝牙音箱,n,HasA,价格,n,1,,,,,
手机套餐,n,HasA,价格,n,1,,,,,
手表,n,HasA,虚拟SIM卡,n,1,,,,,
冰箱,n,HasA,你期待的功能,n,1,,,,,
工作,n,HasA,工作时长,n,1,,,,,
孩子,n,HasA,年龄,n,1,,,,,
家电,n,HasA,品牌,n,1,,,,,
行车记录仪,n,HasA,品牌,n,1,,,,,
喜马拉雅,n,HasA,有声小说,n,,,,,,
无人机,n,HasA,航空管制,n,,,,,,
语音助手,n,HasA,使用场景,n,1,,,,,
耳机,n,HasA,外形,n,1,,,,,
