W1,POS1,RELATION,W2,POS2,PRIORITY
便宜,a,Antonym,贵,a,0
洗手台,n,AtLocation,厕所,n,
垃圾桶,n,AtLocation,厕所,n,
广告,n,AtLocation,电视,n,
商品,n,AtLocation,广告,n,
海伦仙度丝,n,AtLocation,广告,n,
美女,n,AtLocation,广告,n,
广告,n,AtLocation,站牌,n,
广告,n,AtLocation,电视上,a,
公司行号,n,AtLocation,广告,n,
小丸子,n,AtLocation,广告,n,
电脑,n,AtLocation,家里,a,
电脑,n,AtLocation,房间,n,
九层塔,n,AtLocation,外面,a,
太阳,n,AtLocation,外面,a,
阳台,n,AtLocation,外面,a,
老板,n,AtLocation,公司,n,
员工,n,AtLocation,公司,n,
电脑,n,AtLocation,公司,n,
人,n,AtLocation,公司,n,
文件,n,AtLocation,公司,n,
经理,n,AtLocation,公司,n,
同事,n,AtLocation,公司,n,
上司,n,AtLocation,公司,n,
资料夹,n,AtLocation,公司,n,
办公桌,n,AtLocation,公司,n,
老师,n,AtLocation,学校,n,
学生,n,AtLocation,学校,n,
校长,n,AtLocation,学校,n,
同学,n,AtLocation,学校,n,
教室,n,AtLocation,学校,n,
人,n,AtLocation,家,n,
妈妈,n,AtLocation,家,n,
爸爸,n,AtLocation,家,n,
电视,n,AtLocation,家,n,
电脑,n,AtLocation,家,n,
冰箱,n,AtLocation,家,n,
狗,n,AtLocation,家,n,
,,AtLocation,家,n,
家人,n,AtLocation,家,n,
猫,n,AtLocation,家,n,
椅子,n,AtLocation,家,n,
电视,n,AtLocation,家里,a,
电视,n,AtLocation,客厅,n,
电视,n,AtLocation,房间,n,
电视,n,AtLocation,家,n,
爸爸,n,AtLocation,家里,a,
爸爸,n,AtLocation,家,n,
小夜灯,n,AtLocation,灯丝,n,
遥控器,n,AtLocation,客厅,n,
遥控器,n,AtLocation,家里,a,
产品,n,AtLocation,公司,n,
价格,n,AtLocation,招牌,v,
故事,n,AtLocation,BL版,n,
阿拉丁神灯,n,AtLocation,故事,n,
良心,a,AtLocation,故事,n,
怪物,n,AtLocation,故事,n,
内容,n,AtLocation,书,n,
妈妈,n,AtLocation,家,n,
食物,n,AtLocation,冰箱,n,
冰箱,n,AtLocation,家里,a,
饮料,n,AtLocation,冰箱,n,
水果,n,AtLocation,冰箱,n,
冰箱,n,AtLocation,厨房,n,
冰块,n,AtLocation,冰箱,n,
冰箱,n,AtLocation,家,n,
家电,v,AtLocation,百货公司,n,
家电,v,AtLocation,商展,v,
人,n,AtLocation,公寓,n,
电视,n,AtLocation,公寓,n,
针头,n,AtLocation,公寓,n,
围墙,n,AtLocation,公寓,n,
毒贩,n,AtLocation,公寓,n,
音响,n,AtLocation,公寓,n,
房间,n,AtLocation,公寓,n,
爱情,n,AtLocation,公寓,n,
硬,a,AtLocation,坚固,a,
灯,n,AtLocation,房间,n,
小鸡,n,AtLocation,灯,n,
灯,n,AtLocation,旅馆,n,
玩具,n,AtLocation,桌子,n,
专业的,a,AtLocation,五楼,v,
作业,n,AtLocation,电脑,n,
作业,n,AtLocation,学校,n,
名牌,n,AtLocation,新光,n,
包包,v,AtLocation,网购,n,
鞋子,n,AtLocation,网购,n,
衣服,n,AtLocation,网购,n,
手机,n,AtLocation,网购,n,
电视,n,AtLocation,网购,n,
综艺节目,n,AtLocation,胡瓜,n,
快乐,a,AtLocation,综艺节目,n,
综艺节目,n,AtLocation,电视,n,
综艺节目,n,AtLocation,电视里,a,
钱,n,AtLocation,银行,n,
警卫,n,AtLocation,银行,n,
现金,n,AtLocation,银行,n,
资产,n,AtLocation,银行,n,
存款单,n,AtLocation,银行,n,
钞票,n,AtLocation,银行,n,
提款单,n,AtLocation,银行,n,
支票,n,AtLocation,银行,n,
地铁,n,AtLocation,东京,n,
地铁,n,AtLocation,纽约,n,
地铁,n,AtLocation,巴黎,n,
设备,v,AtLocation,办公室,n,
宝宝,n,AtLocation,婴儿车,n,
课本,n,AtLocation,教室,n,
课本,n,AtLocation,学校,n,
课本,n,AtLocation,书包,n,
知识,v,AtLocation,课本,n,
课本,n,AtLocation,书局,n,
课本,n,AtLocation,书柜,n,
课本,n,AtLocation,抽屉,n,
大叔,n,AtLocation,亲戚,n,
朋友,n,AtLocation,学校,n,
朋友,n,AtLocation,网路,n,
感动,v,AtLocation,电视剧,n,
大帅哥,n,AtLocation,电视剧,n,
网站,n,AtLocation,电脑,n,
网站,n,AtLocation,互联网,n,
论文,n,AtLocation,网站,n,
绘本,n,AtLocation,书店,n,
人,n,CapableOf,睡,v,
小狗,n,CapableOf,叫,v,
手机,n,CapableOf,打电话,n,
兔子,n,CapableOf,睡觉,v,
广告,n,CapableOf,宣传,v,
广告,n,CapableOf,造假,v,
电脑,n,CapableOf,上网,v,
电脑,n,CapableOf,当机,v,
电脑,n,CapableOf,玩游戏,n,
电脑,n,CapableOf,中毒,n,
电脑,n,CapableOf,计算,v,
电脑,n,CapableOf,打字,v,
晚上,n,CapableOf,睡觉,v,
晚上,n,CapableOf,吃饭,v,
晚上,n,CapableOf,看星星,v,
晚上,n,CapableOf,看电视,v,
猫,n,CapableOf,睡觉,v,
人,n,CapableOf,睡觉,v,
人,n,CapableOf,吃饭,v,
爸爸,n,CapableOf,开车,v,
司机,n,CapableOf,开车,v,
人,n,CapableOf,开车,v,
手表,n,CapableOf,显示时间,v,
手表,n,CapableOf,动,v,
手表,n,CapableOf,坏掉,v,
手表,n,CapableOf,报时,n,
手表,n,CapableOf,计时,n,
手表,n,CapableOf,没电,v,
手表,n,CapableOf,发光,v,
手表,n,CapableOf,转,v,
手表,n,CapableOf,不准,v,
手表,n,CapableOf,告诉你时间,v,
手机,n,CapableOf,打电话,n,
电视,n,CapableOf,坏掉,v,
电视,n,CapableOf,爆炸,v,
电视,n,CapableOf,有声音,v,
电视,n,CapableOf,播新闻,v,
爸爸,n,CapableOf,赚钱,v,
爸爸,n,CapableOf,吃饭,v,
爸爸,n,CapableOf,工作,v,
手机,n,CapableOf,设闹钟,v,
手机,n,CapableOf,放音乐,v,
电脑,n,CapableOf,放音乐,v,
音响,n,CapableOf,放音乐,v,
手机,n,CapableOf,响,n,
手机,n,CapableOf,震动,v,
手机,n,CapableOf,上网,v,
手机,n,CapableOf,传简讯,n,
手机,n,CapableOf,坏掉,v,
手机,n,CapableOf,打电话,n,
手机,n,CapableOf,叫,v,
手机,n,CapableOf,没电,v,
手机,n,CapableOf,拍照,v,
手机,n,CapableOf,照相,v,
手机,n,CapableOf,玩游戏,n,
手环,n,CapableOf,变漂亮,v,
手环,n,CapableOf,买卖,v,
手环,n,CapableOf,带脚上,v,
手环,n,CapableOf,代手上,v,
手环,n,CapableOf,串珠珠,n,
手机,n,CapableOf,导航,v,
人,n,CapableOf,唱歌,n,
老师,n,CapableOf,讲故事,n,
人,n,CapableOf,看电视,v,
耳机,n,CapableOf,发出声音,n,
父母,n,CapableOf,赚钱,v,
父母,n,CapableOf,生小孩,n,
父母,n,CapableOf,照顾小孩,v,
父母,n,CapableOf,上班,v,
人,n,CapableOf,玩乐,n,
学生,n,CapableOf,玩乐,n,
小孩,n,CapableOf,玩乐,n,
猫,n,CapableOf,玩乐,n,
妈妈,n,CapableOf,煮饭,v,
妈妈,n,CapableOf,打扫,v,
妈妈,n,CapableOf,洗衣服,n,
妈妈,n,CapableOf,做家事,v,
人,n,CapableOf,工作,v,
妈妈,n,CapableOf,工作,v,
空调,n,CapableOf,调节温度,v,
空调,n,CapableOf,暖气,n,
空调,n,CapableOf,送风,v,
妈妈,n,CapableOf,做饭,v,
家长,n,CapableOf,做饭,v,
音响,n,CapableOf,发出声音,n,
音响,n,CapableOf,有音乐,v,
音响,n,CapableOf,有声音,v,
音响,n,CapableOf,放音乐,v,
学生,n,CapableOf,写作业,v,
人,n,CapableOf,写作业,v,
电脑,n,CapableOf,写作业,v,
人,n,CapableOf,合作,v,
员工,n,CapableOf,打卡,v,
充电器,n,CapableOf,充电,v,
手机,n,CapableOf,充电,v,
机器人,n,CapableOf,充电,v,
学生,n,CapableOf,学习,v,
人,n,CapableOf,学习,v,
出公差,n,CapableOf,忙,v,
吹风机,n,CapableOf,吹热风,v,
吹风机,n,CapableOf,吹冷风,n,
吹风机,n,CapableOf,很便宜,a,
吹风机,n,CapableOf,需要插电,v,
冰,n,CapableOf,硬,a,
男人,n,CapableOf,硬,a,
灯,n,CapableOf,亮,v,
灯,n,CapableOf,坏,a,
灯,n,CapableOf,坏掉,v,
小胖,n,CapableOf,减肥,v,
小胖,n,CapableOf,跑步,n,
